Random Forest Accuracy
Best Score = 0.6680
Best Hyper-parameters = {'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}
0.6604 (+/-0.067) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 7}
0.6597 (+/-0.059) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 8}
0.6513 (+/-0.080) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 9}
0.6560 (+/-0.067) for {'criterion': 'gini', 'max_depth': 7, 'n_estimators': 10}
0.6286 (+/-0.038) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 1}
0.6283 (+/-0.084) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 2}
0.6209 (+/-0.089) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 3}
0.6519 (+/-0.068) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 4}
0.6419 (+/-0.088) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 5}
0.6550 (+/-0.069) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 6}
0.6460 (+/-0.089) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 7}
0.6437 (+/-0.103) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 8}
0.6456 (+/-0.066) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 9}
0.6484 (+/-0.085) for {'criterion': 'gini', 'max_depth': 8, 'n_estimators': 10}
0.6183 (+/-0.058) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 1}
0.6558 (+/-0.056) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 2}
0.6253 (+/-0.061) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 3}
0.6380 (+/-0.085) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 4}
0.6406 (+/-0.068) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 5}
0.6216 (+/-0.099) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 6}
0.6458 (+/-0.074) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 7}
0.6515 (+/-0.069) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 8}
0.6542 (+/-0.073) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 9}
0.6548 (+/-0.070) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 10}
0.6324 (+/-0.040) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 1}
0.6265 (+/-0.055) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 2}
0.6154 (+/-0.093) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 3}
0.6429 (+/-0.082) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 4}
0.6316 (+/-0.094) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 5}
0.6671 (+/-0.069) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 6}
0.6569 (+/-0.067) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 7}
0.6538 (+/-0.071) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 8}
0.6458 (+/-0.066) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 9}
0.6655 (+/-0.048) for {'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}
0.5561 (+/-0.048) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 1}
0.5436 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 2}
0.5621 (+/-0.047) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 3}
0.6134 (+/-0.057) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 4}
0.5898 (+/-0.055) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 5}
0.5871 (+/-0.056) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 6}
0.5933 (+/-0.063) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 7}
0.5762 (+/-0.042) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 8}
0.6018 (+/-0.065) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 9}
0.5799 (+/-0.060) for {'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}
0.5395 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 1}
0.5949 (+/-0.068) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 2}
0.6033 (+/-0.056) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 3}
0.6158 (+/-0.066) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 4}
0.6080 (+/-0.058) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 5}
0.6037 (+/-0.062) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 6}
0.6368 (+/-0.048) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 7}
0.6111 (+/-0.059) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 8}
0.6177 (+/-0.053) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 9}
0.6191 (+/-0.054) for {'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 10}
